audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies,CallDistance
HARPIA_20130212_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_074500.wav",-1.04,-3.79,-4.272,2.995,4.623333333333333,0.734,0,0,0,0,NA
HARPIA_20130212_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/12 feb 2013/HARPIA_20130212_080000.wav",-6.460000000000001,-5.566666666666666,-3.406,3.21,6.733333333333333,2.618,0,0,0,0,NA
HARPIA_20130213_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_054500.wav",-0.255,-2.8733333333333335,-1.832,2.695,3.67,0.8039999999999999,0,0,0,0,NA
HARPIA_20130213_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_060000.wav",1.49,-2.936666666666667,-3.426,5.7,6.473333333333334,-0.003999999999999992,0,0,0,2,4
HARPIA_20130213_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_061500.wav",0.705,-2.6433333333333335,-3.8280000000000003,4.025,3.46,0.019999999999999987,0,0,0,2,4
HARPIA_20130213_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_063000.wav",0.5900000000000001,-2.72,-2.328,3.35,4.653333333333333,0.476,0,0,0,0,NA
HARPIA_20130213_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_064500.wav",0.355,-2.873333333333333,-2.992,3.3600000000000003,4.653333333333333,0.262,0,0,0,0,NA
HARPIA_20130213_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_070000.wav",0.185,-2.75,-2.874,2.8600000000000003,4.47,0.40800000000000003,0,0,0,0,NA
HARPIA_20130213_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_071500.wav",0.075,-2.84,-2.484,3.14,4.3566666666666665,0.262,0,0,0,0,NA
HARPIA_20130213_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_073000.wav",-0.62,-3.3066666666666666,-2.296,2.575,3.8400000000000003,-0.146,0,0,0,0,NA
HARPIA_20130213_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_074500.wav",-0.515,-3.23,-2.0060000000000002,2.18,3.9166666666666665,0.118,0,0,0,0,NA
HARPIA_20130213_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/13 feb 2013/HARPIA_20130213_080000.wav",-0.625,-2.6166666666666667,-2.13,2.815,3.27,-0.03200000000000001,0,0,0,0,NA
HARPIA_20130214_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/14 feb 2013/HARPIA_20130214_054500.wav",0.015,-3.3066666666666666,-2.208,4.84,4.306666666666667,0.5800000000000001,0,0,0,2,4
HARPIA_20130214_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/5,800/14 feb 2013/HARPIA_20130214_060000.wav",1.35,-2.94,-3.59,5.050000000000001,2.416666666666667,0.674,0,0,0,2,4
