audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh_and_over_howler_spider,PrimateSpecies,CallDistance
HARPIA_20140204_074500.wav,0.665,-2.566666667,-1.818,3.265,3.696666667,0.479,0,0,NA
HARPIA_20140204_080000.wav,1.38,-2.44,-2.072,3.995,2.72,-0.003,0,0,NA
HARPIA_20140205_054500.wav,-2.82,-1.516666667,-0.922,2.01,6.926666667,2.215,0,0,NA
HARPIA_20140205_064500.wav,-0.265,-3,-3.655,7.62,4.083333333,1.615,0,0,NA
HARPIA_20140205_070000.wav,1.01,-2.18,-2.208,5.04,3.203333333,1.028,0,0,NA
HARPIA_20140205_071500.wav,2.245,-2.426666667,-2.658,5.315,2.66,0.108,0,0,NA
HARPIA_20140205_073000.wav,0.53,-2.45,-2.969,4.175,3.29,0.299,0,0,NA
HARPIA_20140205_074500.wav,0.99,-3.366666667,-2.557,4.52,3.48,0.294,0,0,NA
HARPIA_20140205_080000.wav,1.36,-3.743333333,-2.66,5.41,3.3,0.48,0,0,NA
HARPIA_20140206_070000.wav,0.33,-2.94,-3.673,5.25,2.75,1.855,0,0,NA
HARPIA_20140206_074500.wav,-0.875,-2.313333333,-2.073,3.995,2.096666667,1.633,0,0,NA
HARPIA_20140206_080000.wav,-2.11,-2.386666667,-3.093,7.08,1.93,1.711,0,0,NA
HARPIA_20140207_063000.wav,-0.54,-3.893333333,-2.272,4.495,3.14,2.332,0,0,NA
HARPIA_20140207_064500.wav,-0.615,-3.536666667,-2.638,5.225,3.683333333,3.01,0,0,NA
HARPIA_20140207_070000.wav,0.4,-2.853333333,-2.285,4.32,3.63,1.96,0,0,NA
HARPIA_20140207_074500.wav,-0.37,-2.553333333,-2.27,3.72,3.72,0.897,0,0,NA
HARPIA_20140207_080000.wav,-0.405,-2.463333333,-2.091,3.46,2.753333333,0.948,0,0,NA
HARPIA_20140208_054500.wav,-0.58,-3.436666667,-1.212,2.45,2.566666667,3.139,0,0,NA
HARPIA_20140208_061500.wav,-1.28,-1.56,-0.44,0.45,2,0.986,0,0,NA
HARPIA_20140208_063000.wav,-1.315,-1.663333333,-0.363,0.225,1.82,0.97,0,0,NA
HARPIA_20140208_074500.wav,-1.655,-1.663333333,-0.398,0.19,1.956666667,1.121,0,0,NA
HARPIA_20140208_080000.wav,-1.23,-1.763333333,-0.448,0.26,1.93,0.908,0,0,NA
HARPIA_20140210_060000.wav,-1.505,-2.08,-0.242,0.41,2.93,1.687,0,0,NA
HARPIA_20140210_061500.wav,-1.515,-1.766666667,-0.111,0.515,2.093333333,1.429,0,0,NA
HARPIA_20140210_063000.wav,-1.525,-1.71,-0.042,0.005,1.92,1.393,0,0,NA
HARPIA_20140210_064500.wav,-1.5,-1.653333333,-0.037,0.11,1.943333333,1.388,0,0,NA
HARPIA_20140210_070000.wav,-1.275,-1.75,-0.086,0.42,1.87,1.32,0,0,NA
HARPIA_20140210_071500.wav,-1.45,-1.98,-0.302,0.02,2.46,1.584,0,0,NA
HARPIA_20140210_073000.wav,-1.51,-1.973333333,-1.054,0.34,2.183333333,1.34,0,0,NA
HARPIA_20140210_074500.wav,-1.435,-1.856666667,-0.146,0.085,2.103333333,1.369,0,0,NA
HARPIA_20140210_080000.wav,-3.23,-2.253333333,-0.386,0.09,3.14,1.705,0,0,NA
HARPIA_20140211_054500.wav,-1.435,-2.016666667,-0.141,0.21,2.126666667,1.391,0,0,NA
HARPIA_20140211_063000.wav,-2.23,-2.143333333,-0.373,0.465,3.053333333,1.895,0,0,NA
HARPIA_20140211_070000.wav,-1.005,-1.963333333,-0.49,0.925,2.21,1.319,0,0,NA
HARPIA_20140211_071500.wav,-1.03,-2.053333333,-0.505,0.915,2.193333333,1.281,0,0,NA
HARPIA_20140211_073000.wav,-1.075,-2.026666667,-0.539,1.085,2.203333333,1.289,0,0,NA
HARPIA_20140211_074500.wav,-0.815,-1.986666667,-0.598,1.21,2.233333333,1.193,0,0,NA
HARPIA_20140211_080000.wav,-0.85,-2.256666667,-0.821,1.285,2.66,1.326,0,0,NA
HARPIA_20140212_054500.wav,-1.865,-2.916666667,-0.913,1.145,3.416666667,2.024,0,0,NA
HARPIA_20140212_063000.wav,-0.215,-2.053333333,-0.952,3.3,2.05,1.056,0,0,NA
HARPIA_20140212_064500.wav,-0.23,-1.98,-1.092,2.365,2.303333333,1.093,0,0,NA
HARPIA_20140212_070000.wav,-0.58,-2.026666667,-2.024,1.815,2.29,1.155,0,0,NA
HARPIA_20140212_071500.wav,-0.29,-2.22,-1.199,2.915,2.526666667,1.166,0,0,NA
HARPIA_20140212_073000.wav,-0.06,-2.49,-1.115,2.2,2.433333333,1.083,0,0,NA
HARPIA_20140212_074500.wav,0.165,-2.57,-1.227,2.62,2.543333333,1.023,0,0,NA
HARPIA_20140212_080000.wav,-1.315,-5.426666667,-2.389,2.815,5.24,2.445,0,0,NA
HARPIA_20140213_063000.wav,0.69,-2.37,-2.681,4.385,3.546666667,0.751,0,0,NA
HARPIA_20140213_064500.wav,1.05,-2.31,-2.145,4.645,2.723333333,0.771,0,0,NA
