audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,AutomatedDetection_titi_over_thresh_and_over_howler,ManualDetectionPrimateSpecies,CallDistance,low_freq_signal,high_freq_signal,start_signal,end_signal,inband_power_signal,low_freq_noise,high_freq_noise,start_noise,end_noise,inband_power_noise,Comments
HARPIA_20170213_064500.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, -50/13 feb/HARPIA_20170213_064500.wav",-0.185,-6.356666667,-3.45,11.305,7.143333333,4.454,0,3,4,,,,,,,,,,,
HARPIA_20170217_071500.wav,"E:/For Sun - Full test dataset/Harpia 2017/1, 400/17 feb/HARPIA_20170217_071500.wav",-1.265,-4.81,-3.336,4.15,6.21,0.846,0,3,4,,,,,,,,,,,
HARPIA_20170223_074500.wav,"E:/For Sun - Full test dataset/Harpia 2017/9, 800/23 feb/HARPIA_20170223_074500.wav",-0.585,-3.07,-1.742,3.01,3.726666667,3.194,0,3,4,,,,,,,,,,,
PUMA_20130302_060000.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_060000.wav",-2.335,-10.42666667,-5.606,6.19,12.24,4.374,0,3,4,,,,,,,,,,,
PUMA_20130302_061500.wav,"E:/For Sun - Full test dataset/Puma 2013/6,0/2 mar 2013/PUMA_20130302_061500.wav",0.385,-7.693333333,-4.154,5.21,7.72,2.554,0,3,4,,,,,,,,,,,
PUMA_20140206_054500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/6 Feb 2014/PUMA_20140206_054500.wav",1.06,-3.033333333,-2.996,5.245,4.036666667,1.004,0,3,4,,,,,,,,,,,
PUMA_20140207_061500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_061500.wav",1.94,-3.076666667,-2.622,6.43,4.636666667,0.78,0,3,4,,,,,,,,,,,
PUMA_20150208_063000.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_063000.wav",-2.71,-4.68,-2.702,3.33,10.66666667,2.306,0,3,4,,,,,,,,,,,
PUMA_20150208_064500.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_064500.wav",-2.435,-4.983333333,-2.006,4.95,5.563333333,4.644,0,3,4,,,,,,,,,,,
PUMA_20150219_073000.wav,"E:/For Sun - Full test dataset/Puma 2015/0, 800/19 feb 2015/PUMA_20150219_073000.wav",-0.985,-3.586666667,-2.266,3.255,5.406666667,3.804,0,3,4,,,,,,,,,,,
PUMA_20160223_060000.wav,"E:/For Sun - Full test dataset/Puma 2016/0, 800/23 feb/PUMA_20160223_060000.wav",2.11,-3.126666667,-2.626,6.06,3.873333333,2.34,0,3,4,,,,,,,,,,,
PUMA_20170219_070000.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/19 feb/PUMA_20170219_070000.wav",-1.82,-3.236666667,-1.658,3.02,4.616666667,1.814,0,3,4,,,,,,,,,,,
PUMA_20170219_073000.wav,"E:/For Sun - Full test dataset/Puma 2017/6, 400/19 feb/PUMA_20170219_073000.wav",-0.43,-3.113333333,-1.746,3.54,2.963333333,0.828,0,3,4,,,,,,,,,,,
